g_,p_,micro_,macro_
-1.0364826798051934,0.125,WW,aW
7.176302057822393,1.0,H1H1,aH
0.8075789783056835,0.125,WW,aW
4.065384096384851,0.5,H1W,aF1
3.3680742579415752,0.5,H1W,aF1
0.2924306396390804,0.0,WW,aW
-0.42804315734121157,0.0625,WW,aW
1.2646518244326646,0.125,WW,aW
1.450056378205193,0.25,F1W,aW
2.6655898091531696,0.5625,F1F1,aW
6.282100119524914,0.75,H1F1,aF1
1.9656185828229962,0.1875,WW,aW
3.406676144296261,0.625,F1F1,aW
-0.1987775451197507,0.125,WW,aW
1.0470738018469266,0.25,F1W,aW
0.5563732994806216,0.125,WW,aW
4.517807855784507,0.625,H1W,aF1
4.003737213399464,0.5625,H1W,aF1
1.243017431886582,0.1875,WW,aW
0.5962206234429164,0.0625,WW,aW
2.8595382824600244,0.375,F1W,aW
0.5716970810889213,0.0625,WW,aW
4.079022589680732,0.5625,H1W,aF1
0.07590095990679163,0.1875,WW,aW
3.415461600295979,0.5,H1W,aF1
1.9518792537553895,0.5,H1W,aF1
0.42962346643162974,0.0,WW,aW
1.5788454523219622,0.1875,WW,aW
0.8029764161405581,0.125,WW,aW
4.986147295616588,0.75,H1F1,aF1
1.1973703458354397,0.125,WW,aW
0.027459540816159256,0.0625,WW,aW
1.0667571168600423,0.1875,WW,aW
1.7902066973856068,0.125,WW,aW
3.8052554367113087,0.5625,H1W,aF1
4.211648421589307,0.4375,F1W,aW
0.6715844240898374,0.0,WW,aW
1.4914805826612496,0.3125,F1W,aW
2.7881875880016453,0.375,F1W,aW
3.701002166007278,0.5,H1W,aF1
3.09759991480969,0.3125,F1W,aW
0.7426523378284476,0.125,WW,aW
2.5560494968397585,0.1875,WW,aW
4.408430394008065,0.625,H1W,aF1
1.352061289355749,0.25,WW,aW
1.017986124160081,0.0625,WW,aW
3.1086083906557547,0.3125,F1W,aW
2.7485669984409036,0.4375,F1W,aW
2.5633226948536554,0.25,F1W,aW
